"","33","0","3","6","9","12"
"3012001",1,1,1,0,0,0
"3012002",1,1,2,1,1,1
"3012003",1,0,0,0,0,0
"3012004",1,1,1,0,0,0
"3012005",1,1,2,0,0,0
"3012006",1,1,1,2,1,1
"3012007",1,1,1,1,1,1
"3012008",1,1,1,1,1,2
"3012009",2,1,1,0,0,0
"3012010",0,2,1,2,1,0
"3012011",1,1,1,2,0,0
"3012012",0,0,0,0,1,0
"3012013",2,1,1,0,0,0
"3012014",1,1,0,0,0,0
"3012015",1,0,0,0,0,0
"3012016",1,2,1,0,0,0
"3012017",1,1,0,0,0,0
"3012018",1,0,0,0,0,0
"3012019",1,0,0,0,0,0
"3012020",1,0,0,0,0,0
"3012021",1,2,0,0,0,0
"3012022",0,0,1,0,0,0
"3012023",1,0,0,0,0,0
"3012024",1,1,2,2,0,0
